anio,mes,ElAtazar,ElVado,ElVillar,LaAcena,LaJorosa,LaPinilla,LosMorales,Navacerrada,Navalmedio,Pedrezuela,PuentesViejas,Riosequillo,Santillana,Valmayor,fecha,total
2010,12,301.964,31.007,21.524,8.012,2.557,30.959,0.945,5.832,0.408,33.303,41.559,39.018,68.616,104.518,2010-12-01,690.2220000000001
2011,1,324.462,43.275,21.152,11.013,3.351,31.554,1.12,8.289,0.353,35.519,43.22,42.411,82.619,105.251,2011-01-01,753.589
2011,2,327.322,46.666,21.966,12.628,3.605,33.461,1.277,8.235,0.436,36.234,48.477,46.887,86.546,106.797,2011-02-01,780.537
2011,3,361.828,48.141,22.727,19.776,6.382,35.99,1.511,9.503,0.515,38.066,49.62,46.825,87.952,110.495,2011-03-01,839.331
2011,4,394.782,48.83,22.768,23.7,6.689,35.518,1.708,9.776,0.516,38.723,49.072,48.171,87.549,114.719,2011-04-01,882.521
2011,5,422.713,48.83,21.858,23.583,6.404,34.502,1.793,9.699,0.366,39.58,48.396,45.599,89.788,116.587,2011-05-01,909.6980000000001
2011,6,416.785,42.291,21.818,21.647,6.302,35.305,1.758,8.579,0.373,38.22,47.835,47.167,88.155,110.703,2011-06-01,886.9380000000001
2011,7,400.485,28.607,21.232,19.433,5.72,32.56,1.614,7.296,0.375,36.688,47.703,44.577,79.944,101.433,2011-07-01,827.6669999999999
2011,8,391.65,14.339,20.837,17.319,5.38,29.442,1.47,6.028,0.347,35.97,43.633,42.699,72.319,92.192,2011-08-01,773.6249999999999
2011,9,368.651,9.13,20.785,15.321,4.476,26.503,1.35,5.19,0.306,35.369,41.816,39.451,66.458,86.001,2011-09-01,720.807
2011,10,343.422,8.066,21.034,13.36,4.006,23.98,1.245,4.814,0.292,33.814,40.773,36.067,62.744,81.662,2011-10-01,675.2790000000001
2011,11,321.795,13.363,21.021,13.499,4.797,29.481,1.197,6.466,0.364,33.631,42.811,39.126,69.488,79.88,2011-11-01,676.919
2011,12,308.144,15.816,21.218,13.693,4.07,30.176,1.146,6.695,0.362,29.903,40.272,37.324,69.313,77.03,2011-12-01,655.162
2012,1,295.269,16.679,17.893,13.417,4.07,29.827,1.099,6.593,0.388,24.673,38.695,36.807,67.662,82.538,2012-01-01,635.61
2012,2,283.456,16.981,18.596,12.941,3.661,28.833,1.051,6.559,0.386,19.785,38.804,37.065,65.775,86.456,2012-02-01,620.349
2012,3,272.487,17.778,19.364,12.043,3.737,29.06,1.008,6.459,0.382,16.361,38.629,37.013,63.495,90.523,2012-03-01,608.339
2012,4,268.967,29.381,18.805,11.801,4.002,34.796,0.99,7.817,0.39,16.535,45.17,43.425,66.715,95.728,2012-04-01,644.5219999999999
2012,5,285.516,30.796,21.311,12.066,4.13,32.927,0.942,8.603,0.433,16.426,46.111,43.63,68.181,97.349,2012-05-01,668.421
2012,6,294.091,18.675,17.679,11.435,3.269,31.514,0.811,7.742,0.384,12.905,39.822,39.587,60.681,95.357,2012-06-01,633.952
2012,7,276.116,13.896,17.3,9.996,2.47,28.871,0.642,6.512,0.374,12.415,40.137,40.438,53.777,93.156,2012-07-01,596.1
2012,8,254.607,11.697,16.672,7.392,3.003,25.54,0.4,5.29,0.334,11.932,40.499,41.134,48.62,79.346,2012-08-01,546.4660000000001
